,aboue_3u,aboue_3v,about_3u,about_3v,although_5u,although_5v,belieue_5u,belieue_5v,but_1u,but_1v,cause_2u,cause_2v,causes_2u,causes_2v,colour_4u,colour_4v,could_2u,could_2v,course_2u,course_2v,court_2u,court_2v,cure_1u,cure_1v,cut_1u,cut_1v,deliuered_4u,deliuered_4v,diuers_2u,diuers_2v,duke_1u,duke_1v,euen_1u,euen_1v,euer_1u,euer_1v,euery_1u,euery_1v,fauour_2u,fauour_2v,fiue_2u,fiue_2v,full_1u,full_1v,further_1u,further_1v,gaue_2u,gaue_2v,giue_2u,giue_2v,giuen_2u,giuen_2v,gouernment_2u,gouernment_2v,ground_3u,ground_3v,haue_2u,haue_2v,hauing_2u,hauing_2v,heauen_3u,heauen_3v,honour_4u,honour_4v,humble_1u,humble_1v,leaue_3u,leaue_3v,leaues_3u,leaues_3v,liue_2u,liue_2v,loue_2u,loue_2v,much_1u,much_1v,must_1u,must_1v,nature_3u,nature_3v,neuer_2u,neuer_2v,ouer_1u,ouer_1v,our_1u,our_1v,oure_1u,oure_1v,out_1u,out_1v,pound_2u,pound_2v,proue_3u,proue_3v,purpose_1u,purpose_1v,put_1u,put_1v,receiue_5u,receiue_5v,receiued_5u,receiued_5v,saue_2u,saue_2v,selues_3u,selues_3v,seruant_3u,seruant_3v,serue_3u,serue_3v,seruice_3u,seruice_3v,seueral_2u,seueral_2v,soule_2u,soule_2v,suche_1u,suche_1v,sum_1u,sum_1v,sure_1u,sure_1v,themselues_7u,themselues_7v,though_3u,though_3v,thought_3u,thought_3v,thus_2u,thus_2v,trouble_3u,trouble_3v,true_2u,true_2v,truly_2u,truly_2v,trust_2u,trust_2v,uertue_0u,uertue_0v,uery_0u,uery_0v,under_0u,under_0v,understand_0u,understand_0v,unto_0u,unto_0v,up_0u,up_0v,upon_0u,upon_0v,uppon_0u,uppon_0v,us_0u,us_0v,use_0u,use_0v,used_0u,used_0v,ut_0u,ut_0v,vertue_4u,vertue_4v,without_5u,without_5v,would_2u,would_2v,young_2u,young_2v,your_2u,your_2v,youre_2u,youre_2v,yours_2u,yours_2v
1660,0,7,20,0,7,0,1,5,233,0,13,0,2,0,1,0,27,0,4,0,10,0,2,0,2,0,1,2,0,2,0,0,0,16,1,20,0,25,0,5,1,5,9,0,18,0,1,3,4,35,2,15,0,13,6,0,22,199,0,29,0,9,8,0,18,0,1,6,0,1,0,8,0,33,77,0,48,0,8,0,2,31,0,20,131,0,0,0,46,0,3,0,0,8,6,0,13,0,0,3,0,6,0,6,0,6,0,18,0,9,0,13,0,11,3,0,0,0,1,0,8,0,0,12,53,0,9,0,12,0,12,0,18,0,11,0,3,0,0,1,0,64,34,0,5,0,11,0,45,0,146,0,0,0,98,0,6,0,1,0,0,0,1,0,28,0,53,0,3,0,226,0,0,0,16,0
1661,0,0,11,0,1,0,1,5,95,0,0,0,0,0,0,0,9,0,2,0,2,0,1,0,0,0,0,5,0,0,3,0,0,1,0,5,0,2,0,4,0,0,1,0,5,0,0,2,2,9,0,7,0,0,0,0,3,82,1,8,0,0,3,0,5,0,0,12,0,1,0,4,0,2,27,0,20,0,4,0,0,6,0,6,18,0,0,0,18,0,1,0,0,1,2,0,5,0,1,2,0,10,0,1,0,1,0,9,0,5,0,9,0,1,0,0,0,0,0,0,4,0,0,2,15,0,4,0,2,0,3,0,6,0,6,0,3,0,0,0,0,51,6,0,3,0,2,0,16,1,27,0,0,0,24,0,4,0,4,0,0,0,0,0,6,0,26,0,0,0,133,0,0,0,9,0
1662,0,14,36,0,0,0,0,12,324,0,27,0,19,0,4,0,38,0,1,0,7,0,50,0,7,0,0,3,0,14,0,0,0,5,2,24,0,24,0,11,0,18,10,0,11,0,0,6,1,51,0,11,0,0,2,0,0,262,0,15,0,15,15,0,14,0,0,32,0,7,0,25,0,42,70,0,83,0,25,0,0,28,1,23,55,0,0,0,46,0,8,0,0,3,6,0,44,0,0,12,0,16,0,5,0,1,0,13,0,6,0,12,0,8,3,0,0,0,1,0,11,0,0,7,47,0,13,0,23,0,6,0,18,0,6,0,4,0,0,8,0,66,12,0,1,0,4,0,37,0,62,0,0,0,26,0,24,0,12,0,1,0,8,0,31,0,58,0,8,0,300,0,0,0,19,0
1663,0,3,30,0,0,0,0,6,99,0,1,0,0,0,0,0,24,0,0,0,7,0,1,0,0,0,0,3,0,0,0,0,0,4,0,10,0,8,0,2,0,6,4,0,4,0,0,8,0,17,0,9,0,0,2,0,0,139,0,12,0,0,2,0,5,0,0,5,0,0,0,9,0,5,32,0,16,0,1,0,0,12,0,8,13,0,0,0,30,0,2,0,0,9,5,0,9,0,0,3,0,5,0,2,0,0,0,7,0,3,0,5,0,7,0,0,0,0,2,0,9,0,0,0,16,0,6,0,3,0,9,0,4,0,5,0,2,0,0,0,0,44,2,0,9,0,1,0,21,0,34,0,0,0,13,0,8,0,2,0,0,0,0,0,5,0,41,0,6,0,108,0,0,0,10,0
1664,0,10,24,0,6,0,0,11,196,0,5,0,1,0,0,0,30,0,3,0,2,0,22,0,0,0,0,2,0,2,9,0,0,1,0,29,0,10,0,9,0,9,6,0,3,0,0,11,0,30,0,18,0,0,2,0,0,232,0,15,0,1,9,0,5,0,0,12,0,3,0,8,0,5,68,0,16,0,12,0,0,33,0,14,38,0,0,0,42,0,3,0,0,3,1,0,15,0,0,1,0,7,0,4,0,3,0,10,0,4,0,10,0,6,0,0,1,0,0,0,13,0,0,4,40,0,19,0,4,0,14,0,9,0,3,0,1,0,0,1,0,100,10,0,9,0,9,0,22,0,63,0,0,0,23,0,18,0,2,0,0,0,1,0,21,0,52,0,7,0,152,0,0,0,20,0
1665,0,12,39,0,1,0,0,6,154,0,19,0,14,0,0,0,30,0,5,0,2,0,15,0,2,0,0,7,0,8,2,0,0,8,0,12,0,21,0,4,0,5,9,0,3,0,0,10,0,29,1,11,0,0,13,0,0,181,0,6,0,2,2,0,12,0,0,16,0,13,0,6,0,1,42,0,24,0,13,0,0,27,0,16,51,0,0,0,40,0,0,0,0,5,5,0,27,0,0,9,0,13,0,1,0,3,0,11,0,4,0,14,0,19,2,0,0,0,1,0,9,0,0,11,22,0,15,0,10,0,3,0,5,0,7,0,0,0,0,1,0,77,16,0,2,0,17,0,38,0,56,0,0,0,30,0,30,0,7,0,0,0,1,0,17,0,31,0,4,0,118,0,0,0,12,0
1666,1,30,148,0,2,0,0,16,378,0,57,0,25,0,6,0,58,0,13,0,7,0,27,0,14,0,0,0,0,12,3,0,0,19,0,19,2,22,0,8,0,4,29,0,22,0,0,9,0,55,0,30,0,1,8,0,4,282,0,49,0,3,1,0,18,0,0,13,0,2,0,9,0,19,122,0,67,0,59,0,0,18,0,20,61,0,0,0,114,0,2,0,0,15,24,0,41,0,0,16,0,15,0,1,0,2,0,12,0,7,1,9,0,42,1,0,0,0,1,0,14,0,0,10,91,0,27,0,37,0,10,0,41,0,5,0,3,0,0,5,0,112,26,0,6,0,19,0,51,0,208,0,0,0,55,0,26,0,18,0,0,0,5,0,48,0,97,0,20,0,98,0,0,0,7,0
1667,0,8,57,0,3,0,1,22,233,0,15,0,1,0,10,0,42,0,1,0,4,0,5,0,11,0,0,0,0,9,5,0,0,12,0,11,1,22,0,8,0,8,12,0,9,0,0,5,1,40,0,16,0,0,1,0,6,217,1,50,0,1,22,0,14,0,1,13,1,0,0,8,0,47,84,0,43,0,18,0,0,26,1,14,44,0,0,0,50,0,1,0,0,11,7,0,20,0,1,8,0,12,0,1,0,2,0,20,0,8,1,12,0,22,0,0,0,0,0,0,7,0,0,10,28,0,21,0,9,0,6,0,20,0,16,0,1,0,0,3,1,146,10,0,5,0,10,0,34,0,83,0,0,0,75,1,29,0,8,0,0,0,3,0,31,0,58,0,18,0,99,0,0,0,9,0
1668,0,17,68,0,3,0,0,26,375,0,34,0,8,0,10,0,95,0,4,0,16,0,12,0,14,0,0,6,0,14,11,0,0,56,0,32,0,31,0,4,0,16,14,0,24,0,0,19,0,48,0,33,0,6,14,0,2,311,0,61,0,0,13,0,2,0,0,9,0,3,0,14,0,6,91,0,74,0,14,0,0,42,0,24,238,0,0,0,91,0,3,0,0,17,12,0,21,0,0,12,0,16,0,9,0,7,0,6,0,7,0,4,0,25,0,0,0,0,5,0,19,0,0,35,69,0,24,0,17,0,12,0,21,0,7,0,3,0,0,4,0,111,40,0,0,0,7,0,68,0,149,0,0,0,81,0,45,0,16,0,2,0,4,0,75,0,163,0,7,0,61,0,0,0,3,0
1669,0,20,46,0,4,0,0,17,225,0,18,0,6,0,11,0,34,0,5,0,3,0,10,0,5,0,0,3,0,14,1,0,0,14,0,31,0,28,0,1,0,3,5,0,12,0,0,7,0,24,0,15,0,0,2,0,0,184,0,22,0,7,2,0,6,0,0,12,0,2,0,6,0,28,64,0,39,0,12,0,0,24,0,17,50,0,0,0,73,0,2,0,0,6,10,0,18,0,0,5,0,8,0,3,0,15,0,13,0,11,0,3,0,41,0,0,0,0,3,0,14,0,0,20,29,0,13,0,21,0,4,0,17,0,2,0,8,0,0,0,0,67,30,2,3,0,17,0,50,0,99,1,0,0,47,0,20,2,7,0,10,0,0,0,27,0,59,0,4,0,180,0,0,0,6,0
1670,0,14,42,0,10,0,1,7,193,0,22,0,13,0,3,0,23,0,4,0,3,0,18,0,1,0,0,2,0,2,0,0,0,17,1,32,0,19,0,7,0,3,14,0,13,0,0,6,2,30,3,2,0,3,4,0,12,138,2,18,0,6,11,0,16,0,0,9,0,3,0,4,0,27,63,0,41,0,9,0,0,36,0,10,45,0,0,0,55,0,2,0,0,5,9,0,12,0,1,13,0,5,0,0,0,3,0,12,0,5,0,4,0,21,0,0,0,0,1,0,15,0,0,8,50,0,10,0,19,0,7,0,20,0,6,0,0,0,0,0,0,74,8,0,7,0,17,0,28,0,88,0,0,0,25,1,6,0,6,0,1,0,0,0,37,0,28,0,1,0,86,0,0,0,12,0
1671,0,12,24,0,11,0,0,2,250,0,29,0,8,0,8,0,14,0,1,0,5,0,18,0,12,0,0,1,0,10,4,0,0,7,1,11,0,25,0,2,0,10,26,0,1,0,0,1,0,20,0,15,0,1,10,0,8,146,0,23,0,0,2,0,6,0,0,6,0,5,0,8,0,3,82,0,45,0,67,0,0,12,0,11,44,0,0,0,29,0,0,0,0,5,2,0,4,0,0,6,0,4,0,3,0,2,0,7,0,15,0,2,0,6,1,0,0,0,0,0,4,0,0,14,20,0,2,0,4,0,2,0,15,0,5,0,1,0,0,4,0,78,42,0,5,0,74,0,30,0,54,0,0,0,23,0,23,0,11,0,0,0,4,0,31,0,24,0,16,0,26,0,0,0,0,0
1672,0,19,48,0,2,0,0,8,258,0,18,0,7,1,8,0,48,0,2,0,2,0,9,0,19,0,0,7,0,14,17,0,0,17,0,20,0,16,0,7,0,3,6,0,19,0,0,9,0,44,0,15,0,6,8,0,1,227,0,66,0,2,2,0,25,0,0,15,0,0,0,8,0,17,77,0,27,0,27,0,0,23,0,29,127,0,0,0,77,0,4,0,0,12,4,0,22,0,0,6,1,9,0,7,0,6,0,15,0,6,0,13,0,16,1,0,0,0,1,0,7,0,0,21,56,0,18,0,21,0,7,0,20,0,4,0,3,0,0,2,0,150,12,0,3,0,5,0,29,0,122,0,0,0,87,0,27,0,6,0,9,0,2,0,33,0,72,0,7,0,88,0,0,0,7,0
1673,0,10,18,0,2,0,0,3,107,0,11,0,3,0,5,0,14,0,1,0,16,0,14,0,1,0,0,4,0,4,12,0,0,2,1,11,0,18,0,3,1,5,10,0,10,0,0,4,0,21,0,12,0,0,1,0,6,117,0,12,0,5,5,0,9,0,0,6,0,1,1,0,0,12,51,0,20,0,18,0,0,14,0,13,72,0,0,0,39,0,20,0,0,3,1,0,31,0,0,3,0,6,0,3,0,2,0,14,0,7,0,7,0,6,1,0,0,0,0,0,5,0,0,12,10,0,4,0,8,0,4,0,9,0,6,0,2,0,0,5,0,48,21,0,2,0,19,0,18,0,50,0,0,0,22,0,25,0,8,0,0,0,5,0,11,0,23,0,11,0,47,0,0,0,1,0
1674,1,31,66,0,13,0,2,35,417,0,38,0,4,0,8,0,78,0,19,0,11,0,21,0,11,0,0,7,0,27,9,0,0,32,0,38,1,39,0,7,0,14,12,0,23,0,2,16,2,48,0,36,0,2,12,0,17,421,2,44,0,6,16,0,13,0,0,21,0,8,0,9,0,16,145,0,71,0,68,0,2,44,1,36,187,0,0,0,123,0,6,0,0,36,23,0,33,0,0,8,0,19,0,2,0,36,0,14,0,8,0,19,0,44,2,0,0,0,0,0,13,0,1,38,82,0,33,0,33,0,5,0,37,0,14,0,1,0,0,4,0,163,38,0,13,0,53,0,46,0,226,0,0,0,126,0,58,0,13,0,4,0,4,0,73,0,120,0,5,0,249,0,0,0,12,0
1675,0,5,28,0,0,0,4,15,255,0,12,0,1,0,0,0,17,0,0,0,4,0,7,0,0,0,0,2,0,1,7,0,2,4,1,16,0,17,0,4,0,1,9,0,3,0,1,12,0,27,1,8,0,1,3,0,10,186,2,10,0,2,39,0,18,0,0,22,0,2,0,6,0,67,53,0,48,0,13,0,2,32,2,14,48,0,0,0,37,0,0,0,0,3,4,0,9,0,0,6,0,8,0,1,0,1,0,13,0,10,1,11,0,1,1,0,0,0,0,0,23,0,0,15,27,0,14,0,2,0,7,0,13,0,6,0,3,0,0,1,0,54,7,0,7,0,5,0,25,0,90,0,0,0,36,0,25,0,7,0,0,0,1,0,18,0,41,0,3,0,230,0,0,0,10,0
1676,0,25,59,0,10,0,1,28,577,0,34,0,5,0,40,0,59,0,23,0,18,0,21,0,16,0,0,5,0,4,11,0,0,32,0,56,0,42,0,14,1,17,23,0,37,0,1,17,1,73,0,34,0,3,8,0,9,521,0,42,0,2,13,0,10,0,0,31,0,12,0,13,1,41,213,0,117,0,69,0,0,73,0,60,169,0,0,0,138,0,10,0,0,14,22,0,77,0,0,11,0,16,0,4,0,8,0,22,0,20,0,16,0,15,1,0,0,0,7,0,18,0,0,43,86,0,34,0,45,0,27,0,21,0,24,0,10,0,0,1,0,180,51,0,10,0,24,0,94,0,167,0,0,0,78,0,71,0,20,0,0,0,1,0,86,0,142,0,21,0,341,0,0,0,8,0
1677,0,10,51,0,8,0,2,15,307,0,10,0,0,0,4,0,47,0,6,0,19,0,2,0,6,0,0,8,0,6,26,0,0,10,1,32,1,13,2,8,0,6,16,0,26,0,1,18,5,41,1,23,0,2,1,0,34,333,6,26,0,1,13,0,14,0,1,18,0,3,1,5,0,8,82,0,49,0,12,0,1,29,1,34,47,0,0,0,71,0,17,0,0,8,6,0,40,0,1,10,0,29,0,1,0,2,0,19,0,14,0,19,0,4,0,0,0,0,1,0,14,0,0,11,17,0,28,0,14,0,12,0,14,0,8,0,3,0,0,3,0,129,14,0,10,1,24,0,45,1,148,1,2,0,28,0,18,1,24,0,0,0,3,0,33,0,118,0,6,0,207,0,0,0,11,0
1678,0,14,75,0,6,0,1,21,468,0,5,0,4,0,5,0,71,0,4,0,17,0,5,0,14,0,0,11,0,2,17,0,0,16,1,29,0,37,0,5,3,20,8,0,21,0,3,30,5,71,2,32,0,2,6,0,15,355,8,33,0,5,5,0,12,0,0,27,0,5,0,10,3,11,72,0,84,0,14,0,0,79,0,33,47,0,0,0,132,0,14,0,0,19,19,0,73,0,0,14,1,18,0,4,0,5,0,18,0,11,1,26,0,70,2,0,0,0,1,0,22,0,1,11,39,0,47,0,18,0,8,0,23,0,10,0,3,0,0,12,0,133,19,0,7,0,21,0,99,0,182,0,0,0,54,0,45,0,10,0,1,0,12,0,38,0,170,0,6,0,213,0,0,0,14,0
1679,0,53,93,0,26,0,0,15,415,0,27,0,2,0,7,0,68,0,12,0,35,0,9,0,13,0,0,16,0,4,52,0,0,38,0,40,0,57,0,8,0,32,24,0,35,0,0,54,0,99,0,63,0,26,7,0,8,496,0,44,0,9,6,0,24,0,0,32,0,25,0,8,0,22,175,0,80,0,4,0,0,34,0,77,163,0,0,0,135,0,40,0,0,9,20,0,130,0,0,22,0,41,0,3,0,6,0,27,0,31,0,27,0,14,0,0,0,0,1,0,10,0,0,14,72,0,33,0,65,0,27,0,22,0,7,0,4,0,0,2,0,249,74,0,21,0,35,0,61,0,190,0,0,0,96,0,71,0,54,0,1,0,2,0,64,0,114,0,13,0,375,0,0,0,50,0
1680,1,9,109,0,6,0,0,45,507,0,56,0,5,0,3,0,58,0,10,0,69,0,13,0,5,0,0,10,0,5,10,0,0,15,0,63,0,52,0,24,0,11,19,0,18,0,0,22,0,91,0,30,0,21,3,0,12,491,0,17,0,4,37,0,28,0,0,17,0,3,0,13,0,28,88,0,79,0,48,0,0,63,0,32,105,0,0,0,96,0,2,0,0,14,14,0,44,0,0,5,0,26,0,1,0,10,0,24,0,9,0,30,0,26,0,0,0,0,4,0,27,0,0,19,94,0,28,0,33,0,27,0,31,0,28,0,2,0,0,4,0,183,29,0,14,0,58,0,60,0,186,0,2,0,57,0,38,0,12,0,1,0,4,0,53,0,172,0,6,0,377,0,0,0,12,0
1681,0,39,58,0,13,0,0,27,519,0,28,0,1,0,0,0,80,0,5,0,34,0,2,0,4,0,0,8,0,1,16,0,0,15,0,58,0,56,0,4,0,10,13,0,14,0,0,14,0,52,0,23,0,3,2,0,1,590,0,24,0,5,9,0,4,0,0,16,0,1,0,37,0,10,148,0,73,0,10,0,0,100,0,22,185,0,0,0,142,0,13,0,0,17,13,0,43,0,0,7,0,10,0,12,0,12,0,5,0,11,0,8,0,36,0,0,0,0,3,0,23,0,0,38,26,0,29,0,5,0,6,0,29,0,7,0,6,0,0,2,0,154,21,0,6,0,41,0,85,0,165,0,4,0,75,0,24,0,25,0,0,0,2,0,39,0,343,0,8,0,76,0,0,0,4,0
1682,0,11,63,0,3,0,0,29,268,0,31,0,17,0,5,0,35,0,5,0,53,0,17,0,1,0,0,5,0,1,1,0,0,12,0,50,0,28,0,3,0,9,10,0,8,0,0,11,0,60,0,40,0,8,5,0,0,293,0,26,0,12,12,0,7,0,0,18,0,8,0,7,0,27,54,0,64,0,24,0,0,76,0,26,114,0,0,0,79,0,7,0,0,28,4,0,48,0,0,10,0,5,0,19,0,11,0,18,0,7,0,0,0,14,0,0,0,0,1,0,20,0,0,22,39,0,15,0,23,0,5,0,18,0,7,0,3,0,0,1,0,83,14,0,8,0,20,0,56,0,163,0,0,0,77,0,49,1,14,0,0,0,1,0,36,0,106,0,3,0,143,0,0,0,1,0
1683,0,8,58,0,12,0,0,33,294,0,7,0,15,0,3,0,38,0,29,0,18,0,1,0,2,0,0,1,0,3,13,0,0,12,0,13,0,30,0,2,0,4,12,0,10,0,0,8,0,46,0,19,0,9,1,0,0,192,0,19,0,4,16,0,0,0,0,11,0,0,0,9,0,2,80,0,59,0,89,0,0,37,0,12,34,0,0,0,70,0,1,0,0,12,10,0,29,0,0,5,0,3,0,2,0,2,0,4,0,5,0,0,0,20,0,0,0,0,1,0,14,0,0,23,24,0,17,0,18,0,3,0,24,0,9,0,3,0,0,2,0,43,19,0,10,0,2,0,47,0,122,0,0,0,29,0,44,0,14,0,3,0,2,0,28,0,86,0,2,0,133,0,0,0,0,0
1684,0,4,29,0,10,0,0,2,277,0,32,0,12,0,7,0,17,0,9,0,5,0,3,0,6,0,0,3,0,21,1,0,0,30,0,7,0,21,0,10,0,3,9,0,15,0,0,12,0,21,0,19,0,27,5,0,0,168,0,42,0,3,5,0,1,0,0,9,0,3,0,4,0,10,54,0,69,0,45,0,0,12,0,22,52,0,0,0,50,0,1,0,0,7,11,0,11,0,0,10,0,3,0,1,0,5,0,0,0,4,0,0,0,23,0,0,0,0,4,0,1,0,0,30,74,0,8,0,41,0,2,0,11,0,4,0,14,0,0,7,0,76,19,0,7,0,7,0,29,0,74,0,0,0,37,0,20,0,6,0,4,1,7,0,41,0,40,0,9,0,14,0,0,0,0,0
1685,0,14,77,0,8,0,0,19,354,0,16,0,0,0,2,0,60,0,13,0,1,0,4,0,4,0,0,1,0,4,0,0,0,6,0,16,0,37,0,2,0,36,14,0,5,0,0,11,0,61,0,13,0,16,12,0,0,285,0,16,0,2,1,0,2,0,0,16,0,2,0,23,0,36,75,0,109,0,11,0,0,38,0,34,130,0,0,0,67,0,6,0,0,6,3,0,31,0,0,1,0,4,0,7,0,16,0,5,0,13,0,6,0,24,0,0,0,0,4,0,18,0,0,16,17,0,18,0,22,0,11,0,20,0,14,0,1,0,0,2,0,127,30,0,3,0,2,0,52,0,73,0,0,0,100,0,23,0,7,0,0,0,2,0,37,0,92,0,12,0,93,0,0,0,1,0
1686,0,8,29,0,1,0,0,9,104,0,7,0,1,0,4,0,13,0,3,0,1,0,4,0,8,0,0,0,0,2,0,0,0,9,0,5,0,21,0,0,0,5,6,0,2,0,0,2,0,20,0,4,0,0,6,0,0,132,0,11,0,0,3,0,10,0,0,5,0,8,0,3,0,3,45,0,33,0,7,0,0,10,0,10,17,0,0,0,37,0,0,0,0,2,10,0,34,0,0,4,0,4,0,1,0,0,0,6,0,9,0,9,0,7,0,0,0,0,1,0,4,0,0,6,40,0,6,0,9,0,8,0,12,0,0,0,2,0,0,5,0,64,12,0,1,0,1,0,22,0,45,0,0,0,6,0,31,0,16,0,0,0,5,0,18,0,31,0,8,0,59,0,0,0,4,0
1687,0,6,11,0,0,0,0,5,146,0,6,0,0,0,2,0,13,0,1,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,6,0,15,0,5,0,3,8,0,0,0,0,0,0,9,0,9,0,7,0,0,0,56,0,4,0,5,1,0,0,0,0,0,0,3,0,4,0,15,25,0,14,0,10,0,0,21,0,5,24,0,0,0,9,0,0,0,0,2,0,0,6,0,0,2,0,3,0,3,0,5,0,0,0,6,0,2,0,10,0,0,0,0,1,0,12,0,0,1,5,0,7,0,0,0,2,0,9,0,3,0,9,0,0,0,0,36,4,0,4,0,0,0,10,0,21,0,0,0,28,0,8,0,2,0,0,0,0,0,8,0,48,0,0,0,46,0,0,0,1,0
1688,0,10,23,0,1,0,0,7,234,0,2,0,2,0,23,0,45,0,2,0,5,0,4,0,1,0,0,2,0,3,2,0,0,14,0,20,0,29,0,2,0,1,4,0,7,0,0,13,0,36,0,23,0,2,3,0,0,204,0,16,0,3,0,0,1,0,0,9,0,6,0,8,0,5,34,0,43,0,14,0,0,35,0,5,41,0,0,0,40,0,0,0,0,2,5,0,18,0,0,4,0,7,0,1,0,0,0,5,0,12,0,18,0,8,0,0,0,0,0,0,18,0,0,5,19,0,8,0,12,0,4,0,14,0,12,0,10,0,0,1,0,74,19,0,2,0,3,0,29,0,66,0,0,0,31,0,15,0,5,0,0,0,1,0,27,0,58,0,32,0,85,0,0,0,4,0
1689,0,2,39,0,0,0,0,6,205,0,29,0,17,0,1,0,22,0,6,0,2,0,7,0,0,0,0,4,0,5,1,0,0,6,0,11,0,15,0,2,0,2,10,0,8,0,0,3,0,25,0,20,0,23,1,0,0,198,0,50,0,0,13,0,2,0,0,7,0,1,0,7,0,15,43,0,33,0,17,0,0,22,0,13,58,0,0,0,30,0,0,0,0,1,2,0,5,0,0,5,0,11,0,7,0,8,0,1,0,6,0,8,0,9,0,0,0,0,0,0,8,0,0,22,22,0,4,0,8,0,1,0,2,0,4,0,8,0,0,5,0,31,40,0,1,0,80,0,19,0,150,0,0,0,23,0,26,0,5,0,1,0,5,0,43,0,36,0,8,0,32,0,0,0,6,0
1690,0,0,8,0,4,0,0,3,111,0,8,0,1,0,1,0,14,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,3,0,7,0,2,0,1,0,0,2,0,1,0,0,1,0,6,0,14,0,17,3,0,0,57,0,1,0,0,2,0,2,0,0,3,0,0,0,5,0,1,22,0,19,0,6,0,0,4,0,9,54,0,0,0,6,0,0,0,0,1,2,0,5,0,0,1,0,6,0,1,0,6,0,0,0,3,0,3,0,4,1,0,0,0,0,0,1,0,0,10,1,0,18,0,3,0,0,0,6,0,0,0,1,0,0,0,0,14,11,0,1,0,1,0,10,0,30,0,0,0,7,0,1,0,3,0,0,0,0,0,2,0,23,0,0,0,2,0,0,0,0,0
1691,0,5,12,0,0,0,0,0,45,0,1,0,2,0,4,0,3,0,2,0,0,0,11,0,4,0,0,0,0,1,4,0,0,2,0,3,0,22,0,3,0,4,8,0,0,0,0,1,0,29,0,8,0,0,2,0,0,35,0,10,0,0,1,0,0,0,0,3,0,7,0,5,0,0,27,0,13,0,13,0,0,5,0,13,10,0,0,0,36,0,2,0,0,1,3,0,19,0,0,1,0,1,0,1,0,3,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,5,7,0,0,0,12,0,3,0,4,0,1,0,0,0,0,0,0,28,3,0,0,0,0,0,19,0,20,0,0,0,11,0,16,0,2,0,0,0,0,0,9,0,17,0,1,0,2,0,0,0,1,0
1692,0,14,67,0,0,0,0,11,286,0,19,0,1,0,2,0,55,0,3,0,2,0,1,0,3,0,0,2,0,0,1,0,0,12,0,22,0,8,0,12,0,14,11,0,10,0,0,11,0,63,0,9,0,24,5,0,0,211,0,12,0,12,19,0,6,0,0,22,0,4,0,8,0,27,51,0,62,0,6,0,0,26,0,19,159,0,0,0,99,0,12,0,0,10,7,0,36,0,0,7,0,9,0,1,0,8,0,13,0,10,0,7,0,26,0,0,0,0,6,0,13,0,0,10,10,0,13,0,13,0,7,0,21,0,14,0,4,0,0,1,0,106,21,0,2,0,3,0,56,0,124,0,0,0,44,0,16,0,8,0,6,0,1,0,23,0,103,0,19,0,238,0,0,0,7,0
1693,0,24,53,0,10,0,0,15,374,0,39,0,21,0,21,0,37,0,10,0,0,0,56,0,17,0,0,3,0,19,2,0,0,34,0,16,0,33,0,4,0,26,19,0,14,0,0,10,0,72,0,32,0,0,9,0,0,304,0,58,0,2,4,0,2,0,0,21,0,13,0,5,0,42,111,0,62,0,55,0,0,42,0,21,92,0,0,0,119,0,3,0,0,9,13,0,54,0,0,6,0,4,0,1,0,1,0,0,0,13,0,2,0,93,0,0,0,0,1,0,13,0,0,21,27,0,15,0,25,0,9,0,22,0,5,0,1,0,0,28,0,149,24,0,1,0,4,0,77,0,85,0,0,0,39,0,102,0,34,0,0,0,28,0,64,0,48,0,22,0,67,0,0,0,3,0
1694,0,22,48,0,5,0,0,40,389,0,20,0,8,0,36,0,59,0,13,0,5,0,32,0,14,0,0,2,0,16,2,0,0,19,0,23,0,63,0,12,0,27,20,0,7,0,0,9,0,78,0,21,0,6,8,0,0,414,0,21,0,12,19,0,6,0,0,19,0,106,0,12,0,51,138,0,132,0,52,0,0,71,0,18,44,0,0,0,83,0,10,0,0,15,6,0,47,0,0,7,0,12,0,8,0,5,0,8,0,2,0,14,0,55,0,0,0,0,0,0,7,0,0,20,57,0,27,0,20,0,8,0,30,0,12,0,7,0,0,2,0,200,41,0,9,0,3,0,68,0,137,0,0,0,53,0,71,0,27,0,4,0,2,0,102,0,94,0,12,0,199,0,0,0,3,0
1695,0,9,24,0,0,0,0,2,116,0,16,0,22,0,7,0,5,0,4,0,0,0,29,0,4,0,0,0,0,1,0,0,0,2,0,2,0,55,0,0,0,23,4,0,1,0,0,1,0,42,0,17,0,2,3,0,0,29,0,2,0,0,4,0,1,0,0,6,0,23,0,3,0,0,33,0,98,0,4,0,0,6,0,13,20,0,0,0,31,0,2,0,0,5,6,0,11,0,0,0,0,0,0,7,0,1,0,0,0,1,0,4,0,6,0,0,0,0,2,0,6,0,0,8,8,0,2,0,7,0,0,0,13,0,0,0,0,0,0,2,0,27,7,0,1,0,0,0,14,0,43,0,0,0,25,0,38,0,38,0,0,0,2,0,8,0,1,0,3,0,17,0,0,0,0,0
