,aboue_3u,aboue_3v,about_3u,about_3v,although_5u,although_5v,belieue_5u,belieue_5v,but_1u,but_1v,cause_2u,cause_2v,causes_2u,causes_2v,colour_4u,colour_4v,could_2u,could_2v,course_2u,course_2v,court_2u,court_2v,cure_1u,cure_1v,cut_1u,cut_1v,deliuered_4u,deliuered_4v,diuers_2u,diuers_2v,duke_1u,duke_1v,euen_1u,euen_1v,euer_1u,euer_1v,euery_1u,euery_1v,fauour_2u,fauour_2v,fiue_2u,fiue_2v,full_1u,full_1v,further_1u,further_1v,gaue_2u,gaue_2v,giue_2u,giue_2v,giuen_2u,giuen_2v,gouernment_2u,gouernment_2v,ground_3u,ground_3v,haue_2u,haue_2v,hauing_2u,hauing_2v,heauen_3u,heauen_3v,honour_4u,honour_4v,humble_1u,humble_1v,leaue_3u,leaue_3v,leaues_3u,leaues_3v,liue_2u,liue_2v,loue_2u,loue_2v,much_1u,much_1v,must_1u,must_1v,nature_3u,nature_3v,neuer_2u,neuer_2v,ouer_1u,ouer_1v,our_1u,our_1v,oure_1u,oure_1v,out_1u,out_1v,pound_2u,pound_2v,proue_3u,proue_3v,purpose_1u,purpose_1v,put_1u,put_1v,receiue_5u,receiue_5v,receiued_5u,receiued_5v,saue_2u,saue_2v,selues_3u,selues_3v,seruant_3u,seruant_3v,serue_3u,serue_3v,seruice_3u,seruice_3v,seueral_2u,seueral_2v,soule_2u,soule_2v,suche_1u,suche_1v,sum_1u,sum_1v,sure_1u,sure_1v,themselues_7u,themselues_7v,though_3u,though_3v,thought_3u,thought_3v,thus_2u,thus_2v,trouble_3u,trouble_3v,true_2u,true_2v,truly_2u,truly_2v,trust_2u,trust_2v,uertue_0u,uertue_0v,uery_0u,uery_0v,under_0u,under_0v,understand_0u,understand_0v,unto_0u,unto_0v,up_0u,up_0v,upon_0u,upon_0v,uppon_0u,uppon_0v,us_0u,us_0v,use_0u,use_0v,used_0u,used_0v,ut_0u,ut_0v,vertue_4u,vertue_4v,without_5u,without_5v,would_2u,would_2v,young_2u,young_2v,your_2u,your_2v,youre_2u,youre_2v,yours_2u,yours_2v
1640,0,5,25,0,3,0,0,1,197,0,13,0,1,0,18,0,16,0,9,0,3,0,1,0,2,0,0,3,0,14,1,0,0,4,2,14,1,14,0,3,0,6,7,0,3,0,0,2,8,20,1,6,0,2,3,0,26,195,0,9,0,8,4,0,8,0,0,10,0,1,0,9,7,7,66,0,27,0,44,0,0,17,1,18,45,0,0,0,45,0,2,0,0,3,0,0,10,0,0,2,0,5,0,3,0,0,0,3,1,6,0,3,0,0,6,0,0,0,1,0,3,0,0,14,13,0,18,0,22,0,2,0,10,0,8,0,0,0,0,6,0,57,10,1,2,3,15,1,13,9,23,12,11,0,5,4,7,1,5,0,0,0,6,0,14,0,55,0,1,0,174,0,1,0,4,0
1641,3,21,37,0,20,0,0,5,390,0,50,0,2,0,3,0,79,0,18,0,22,0,6,0,2,0,0,7,0,10,6,0,0,15,0,64,0,24,0,14,0,14,20,0,22,0,1,13,6,57,0,17,0,1,9,0,23,469,1,17,0,9,30,0,11,0,1,15,0,1,0,15,0,80,161,0,72,0,10,0,2,56,0,17,231,0,1,0,99,0,18,0,0,12,14,0,34,0,0,17,0,21,0,6,1,13,0,26,0,23,0,26,0,4,4,0,0,0,1,0,33,0,0,20,40,0,31,0,28,0,12,0,37,0,30,0,8,0,0,2,0,94,23,1,16,2,59,5,55,1,80,5,43,0,76,1,22,3,9,1,5,0,2,0,45,0,176,0,10,0,469,0,0,0,7,0
1642,0,9,57,0,2,0,0,2,332,0,34,0,2,0,2,0,64,0,11,0,6,0,3,0,6,0,1,5,2,8,3,0,0,36,3,60,0,27,0,3,0,9,15,0,13,0,2,19,16,49,2,14,0,2,5,0,50,355,0,22,2,13,9,0,29,0,2,20,0,1,0,17,4,51,165,0,106,0,16,0,4,35,0,17,276,0,2,0,100,0,2,0,0,11,5,0,34,0,0,9,0,12,0,4,0,20,0,19,2,13,0,36,0,7,11,0,0,0,7,0,19,0,0,23,56,0,12,0,21,0,9,0,34,0,8,0,15,0,0,5,0,116,23,0,2,0,89,5,51,11,117,11,34,0,115,21,18,9,4,0,3,0,5,0,38,0,139,0,6,0,387,0,2,0,15,0
1643,0,6,57,0,2,0,0,4,144,0,12,0,0,0,0,0,27,0,2,0,3,0,2,0,5,0,1,1,0,1,0,0,0,2,1,9,2,17,0,5,1,11,12,0,6,0,1,11,11,18,0,14,0,0,4,0,28,96,0,20,1,1,2,0,2,0,1,12,0,0,0,1,2,10,45,0,24,0,0,0,2,10,2,8,189,0,0,0,48,0,0,0,0,2,4,0,11,0,0,7,0,9,0,3,0,4,1,8,0,13,0,12,0,0,3,0,0,0,0,0,2,0,0,10,10,0,12,0,5,0,6,0,11,0,5,0,4,0,0,0,0,46,7,1,4,1,15,1,46,22,111,18,0,0,91,20,10,2,1,3,0,0,0,0,28,0,36,0,2,0,83,0,0,0,1,0
1644,0,7,24,0,7,0,0,4,272,0,35,0,3,0,1,0,37,0,12,0,23,0,4,0,5,0,0,1,0,6,1,0,0,6,0,13,0,36,0,2,0,0,15,0,13,0,0,11,0,31,0,15,0,3,11,0,4,264,0,19,0,12,2,0,1,0,2,9,0,3,0,8,0,16,108,0,69,0,11,0,0,29,1,19,113,0,0,0,84,0,1,0,0,8,15,0,25,0,2,8,0,8,0,1,0,4,0,1,0,4,0,7,0,2,11,0,0,0,2,0,13,0,0,17,52,0,14,0,28,0,8,0,20,0,20,0,7,0,0,1,0,83,15,3,6,1,19,8,19,13,62,32,2,4,39,38,28,13,21,0,1,0,1,0,19,0,63,0,8,0,72,0,0,0,1,0
1645,0,0,4,0,0,0,0,1,15,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,15,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,1,8,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,7,1,0,0,0,2,0,0,0,4,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,14,0,0,0,0,0
1646,0,4,12,0,19,0,0,3,148,0,15,0,0,0,0,0,26,0,3,0,2,0,6,0,7,0,0,5,0,12,0,0,0,2,0,21,0,27,0,0,0,6,9,0,10,0,0,8,0,20,0,16,0,9,5,0,1,213,0,20,0,3,38,0,4,0,0,14,0,0,0,3,0,6,39,0,33,0,0,0,0,36,0,5,150,0,0,0,45,0,2,0,0,4,4,0,16,0,0,5,0,12,0,5,0,12,0,3,0,18,0,55,0,0,1,0,0,0,2,0,5,0,0,4,9,0,5,0,11,0,4,0,16,0,2,0,6,0,0,0,0,22,22,0,3,0,13,0,37,0,54,0,0,0,55,0,9,0,5,0,0,0,0,0,26,0,91,0,1,0,124,0,0,0,0,0
1647,0,1,5,0,0,0,0,2,142,0,2,0,0,0,1,0,15,0,1,0,3,0,1,0,1,0,0,0,0,1,0,0,0,2,0,7,0,2,0,7,0,1,2,0,1,0,0,2,0,18,0,3,0,0,4,0,0,103,0,5,0,7,1,0,2,0,0,25,0,1,0,11,0,40,19,0,34,0,1,0,0,15,0,0,20,0,0,0,21,0,1,0,0,3,1,0,6,0,0,0,0,2,0,5,0,0,0,3,0,2,0,3,0,0,4,0,0,0,1,0,6,0,0,2,15,0,3,0,6,0,6,0,7,0,2,0,2,0,0,4,0,19,1,0,2,2,1,0,15,0,50,0,0,0,10,0,6,0,0,0,1,0,4,0,9,0,55,0,3,0,114,0,0,0,2,0
1648,0,9,4,0,2,0,0,4,148,0,3,0,0,0,0,0,22,0,1,0,108,0,2,0,1,0,0,0,0,12,2,0,0,2,0,29,0,12,0,9,0,2,6,0,8,0,0,7,1,42,1,16,0,10,2,0,0,223,0,15,0,8,2,0,2,0,0,9,0,0,0,1,0,1,28,0,34,0,3,0,0,30,0,5,22,0,0,0,37,0,0,0,0,1,6,0,19,0,0,5,0,4,0,3,0,0,0,1,0,2,0,0,0,2,1,0,0,0,1,0,9,0,0,3,28,0,4,0,21,0,4,0,15,0,14,0,9,0,0,0,0,41,8,0,4,0,19,0,23,0,83,0,0,0,23,0,4,0,0,0,0,0,0,0,13,0,40,0,3,0,119,0,0,0,4,0
1649,0,24,51,0,7,0,0,4,355,0,13,0,1,0,8,0,23,0,3,0,34,0,7,0,20,0,0,1,0,9,4,0,0,7,0,22,0,30,0,26,0,20,29,0,9,0,0,3,0,61,0,20,0,8,16,0,0,269,0,18,0,2,8,0,0,0,0,20,0,79,0,6,0,2,117,0,85,0,15,0,0,43,0,25,96,0,0,0,141,0,43,0,0,9,18,0,66,0,0,0,0,10,0,2,0,6,0,2,0,3,0,4,0,21,0,0,0,0,4,0,11,0,0,26,49,0,15,0,25,0,4,0,23,0,13,0,9,0,0,20,0,82,58,1,8,0,23,0,60,0,233,0,2,0,37,0,77,0,41,0,1,0,20,0,74,0,77,0,3,0,222,0,0,0,2,0
