year,totalwords,u,types,v
1050,68634,1630,127,11
1150,154416,4250,420,564
1250,99048,3929,335,724
1350,187949,5705,473,1849
1420,183405,4940,450,2117
1500,551635,15269,787,12226
850,100868,2717,217,64
950,282436,8992,370,1941
750,2227,62,22,0
